Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2018;1;ADMINISTRAÇÃO;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1312;Educação Presencial;3303906;PETROPOLIS;RJ;45;42;25;0.595238095;-0,59543;2,30413;3;
2018;22;CIÊNCIAS CONTÁBEIS;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1313;Educação Presencial;3303906;PETROPOLIS;RJ;36;33;22;0.666666667;-1,63881;1,78381;2;
2018;13;CIÊNCIAS ECONÔMICAS;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1314;Educação Presencial;3303906;PETROPOLIS;RJ;19;16;7;0.4375;2,43984;3,35756;4;
2018;2;DIREITO;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1315;Educação Presencial;3303906;PETROPOLIS;RJ;148;115;72;0.626086957;-0,25696;2,38658;3;
2018;18;PSICOLOGIA;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1327;Educação Presencial;3303906;PETROPOLIS;RJ;61;58;37;0.637931034;-0,04351;2,61146;3;
2018;13;CIÊNCIAS ECONÔMICAS;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1431;Educação Presencial;3170206;UBERLANDIA;MG;81;69;64;0.927536232;0,70814;2,62445;3;
2018;2;DIREITO;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1436;Educação Presencial;3170206;UBERLANDIA;MG;249;212;195;0.919811321;-0,20866;2,41944;3;
2018;22;CIÊNCIAS CONTÁBEIS;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1443;Educação Presencial;3170206;UBERLANDIA;MG;211;191;159;0.832460733;0,16622;2,54123;3;
2018;18;PSICOLOGIA;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1516;Educação Presencial;4314407;PELOTAS;RS;53;52;39;0.75;-1,30606;1,74152;2;
2018;1;ADMINISTRAÇÃO;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1517;Educação Presencial;4314407;PELOTAS;RS;54;51;45;0.882352941;-1,91527;1,75560;2;
2018;22;CIÊNCIAS CONTÁBEIS;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1523;Educação Presencial;4314407;PELOTAS;RS;1;1;1;1;;;SC;
2018;38;SERVIÇO SOCIAL;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1526;Educação Presencial;4314407;PELOTAS;RS;26;26;24;0.923076923;-1,69306;1,81150;2;
2018;2;DIREITO;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1531;Educação Presencial;4314407;PELOTAS;RS;159;155;130;0.838709677;-0,24407;2,39535;3;
2018;29;TURISMO;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1626;Educação Presencial;3509502;CAMPINAS;SP;45;32;28;0.875;-0,52682;1,89196;2;
2018;2;DIREITO;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1642;Educação Presencial;3509502;CAMPINAS;SP;511;471;402;0.853503185;0,00542;2,56510;3;
2018;38;SERVIÇO SOCIAL;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1650;Educação Presencial;3509502;CAMPINAS;SP;29;24;22;0.916666667;0,05233;2,53650;3;
2018;13;CIÊNCIAS ECONÔMICAS;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1652;Educação Presencial;3509502;CAMPINAS;SP;217;143;110;0.769230769;0,24512;2,42844;3;
2018;22;CIÊNCIAS CONTÁBEIS;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1653;Educação Presencial;3509502;CAMPINAS;SP;97;62;36;0.580645161;0,31919;2,60542;3;
2018;1;ADMINISTRAÇÃO;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1654;Educação Presencial;3509502;CAMPINAS;SP;659;425;339;0.797647059;-0,38429;2,39188;3;
2018;1;ADMINISTRAÇÃO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1729;Educação Presencial;4314100;PASSO FUNDO;RS;145;116;83;0.715517241;-0,33296;2,41321;3;
2018;22;CIÊNCIAS CONTÁBEIS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1734;Educação Presencial;4314100;PASSO FUNDO;RS;74;69;54;0.782608696;-0,18003;2,39594;3;
2018;13;CIÊNCIAS ECONÔMICAS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1735;Educação Presencial;4314100;PASSO FUNDO;RS;26;24;22;0.916666667;1,93867;3,14540;4;
2018;2;DIREITO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1736;Educação Presencial;4314100;PASSO FUNDO;RS;188;164;114;0.695121951;-0,04153;2,53316;3;
2018;1;ADMINISTRAÇÃO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1752;Educação Presencial;4304705;CARAZINHO;RS;44;32;27;0.84375;-1,26515;2,02580;3;
2018;22;CIÊNCIAS CONTÁBEIS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1753;Educação Presencial;4304705;CARAZINHO;RS;35;32;23;0.71875;0,49364;2,67862;3;
2018;22;CIÊNCIAS CONTÁBEIS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1757;Educação Presencial;4311304;LAGOA VERMELHA;RS;6;5;3;0.6;-1,68089;1,76615;2;
2018;22;CIÊNCIAS CONTÁBEIS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1762;Educação Presencial;4320800;SOLEDADE;RS;25;20;18;0.9;-1,54330;1,82388;2;
2018;1;ADMINISTRAÇÃO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1770;Educação Presencial;4304903;CASCA;RS;52;44;28;0.636363636;-1,57867;1,89550;2;
2018;22;CIÊNCIAS CONTÁBEIS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1772;Educação Presencial;4304903;CASCA;RS;46;46;37;0.804347826;0,88058;2,84099;3;
2018;1;ADMINISTRAÇÃO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1773;Educação Presencial;4311304;LAGOA VERMELHA;RS;23;20;17;0.85;-1,19655;2,05430;3;
2018;1;ADMINISTRAÇÃO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1774;Educação Presencial;4320800;SOLEDADE;RS;37;27;20;0.740740741;-0,25215;2,44680;3;
2018;101;TEOLOGIA;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1880;Educação Presencial;4314902;PORTO ALEGRE;RS;15;14;4;0.285714286;2,88662;3,33948;4;
